Date,Comm-Chan-20-0.015,Williams-R-14,Dif-Aroon-25,MFI-14,Adj Close-RSI-14,Clase
2015-09-28,-179.40226758990377,-185.98022446278384,68.0,37.87407517263003,27.933455798125877,0
2015-09-29,-139.9910705742822,-177.68669096651044,68.0,41.43786460777305,33.98087709548914,1
2015-09-30,-58.830688758766804,-157.7793197470218,64.0,42.88429308949947,46.43096853646685,0
2015-10-01,-45.654154674219335,-154.46150460196296,-24.0,51.15120875767175,48.305669002174064,0
2015-10-02,-48.35226094381208,-152.38840507056534,-24.0,50.828960872813965,49.57786835365487,0
2015-10-05,73.12275118825247,-118.38099634017641,-23.999999999999993,57.87661870194048,65.60130108054624,0
2015-10-06,83.31401328890517,-118.79479528611571,-24.0,51.686396661162036,65.30990937451526,0
2015-10-07,110.68639255715267,-106.8824267782424,28.0,55.41424385506241,69.67176272746434,0
2015-10-08,113.29663999606173,-96.56550286208095,32.0,53.81135416206268,73.27247723231964,0
2015-10-09,133.62751944240458,-87.0503118398008,36.0,61.028514290262876,76.70868939820654,0
2015-10-12,112.92512253194187,-89.56015201475863,36.0,57.70832187033555,73.9659542153881,0
2015-10-13,98.19500622624179,-89.20848547833879,35.99999999999999,63.50433941576192,74.11847877415344,0
2015-10-14,78.47870132346021,-97.29877877823013,36.0,61.59184701929742,64.14310412864288,0
2015-10-15,60.21840871487512,-97.29877877823013,36.0,70.76724642381467,64.14310412864288,0
2015-10-16,75.92034661526799,-90.13821667748405,36.0,79.63347139309677,70.37477155622739,0
2015-10-19,80.1440192772711,-98.66175213675217,60.0,79.77045080511753,73.52114345259001,0
2015-10-20,83.30607963456904,-93.83370026589677,64.0,79.64699266881618,75.91883312527412,0
2015-10-21,72.71030959874774,-102.13279443590766,64.0,73.34800530800939,64.51132024610202,0
2015-10-22,76.08270746666896,-130.23665000000017,64.0,74.4312081327286,69.55035854088955,0
2015-10-23,89.14574074892398,-124.61881669211883,76.0,74.10939850567539,76.22722197019097,0
