"Date","Open","High","Low","Close","Adj.Close","Volume","Clase"
"2016-09-22",47.099998,48.049999,47.099998,47.98,46.058044,45300927,0
"2016-09-23",47.849998,47.849998,47.48,47.75,45.837261,35354313,0
"2016-09-26",47.75,47.75,47.169998,47.279999,45.386089,28532520,0
"2016-09-27",47.299999,47.75,47.02,47.66,45.838001,35126090,0
"2016-09-28",47.84,48.130001,47.560001,47.970001,46.136154,21522869,0
"2016-09-29",48.130001,48.41,47.41,47.599998,45.780304,35567086,0
"2016-09-30",47.25,47.77,47.099998,47.209999,45.405201,17145821,0
"2016-10-03",47.200001,47.580002,47,47.560001,45.741833,16777666,0
"2016-10-04",47.560001,47.91,47.41,47.860001,46.030369,24710341,0
"2016-10-05",48,48.169998,47.900002,48.09,46.251579,25296769,0
"2016-10-06",48,48.099998,47.779999,47.880001,46.049599,20435092,0
"2016-10-07",47.900002,47.98,47.400002,47.549999,45.732216,17650457,1
"2016-10-10",47.549999,48.32,47.549999,48.200001,46.357368,20762988,0
"2016-10-11",48.189999,48.200001,47.880001,47.950001,46.116932,24926187,0
"2016-10-12",47.830002,48.029999,47.709999,47.860001,46.030369,18853431,0
"2016-10-13",47.549999,47.720001,47.360001,47.689999,45.866859,25477416,0
"2016-10-19",48.189999,48.529999,47.91,48.439999,46.588192,28384975,0
"2016-10-20",48.349998,48.470001,48.139999,48.220001,46.376606,21262621,0
"2016-10-21",47.98,48.459999,47.91,48.349998,46.501625,29981526,0
"2016-10-24",48.349998,48.48,48.220001,48.380001,46.530479,12061942,0
"2016-10-25",48.57,48.57,48,48.049999,46.213089,22762346,0
"2016-10-26",47.98,48.040001,47.66,47.75,45.931095,16640944,0
"2016-10-27",47.759998,48.09,47.700001,48.049999,46.219666,15578883,0
"2016-10-28",48.080002,48.349998,47.509998,47.990002,46.161957,30500570,0
"2016-10-31",47.990002,48.189999,47.84,48,46.171574,19997203,0
"2016-11-01",48.02,48.049999,47.060001,47.290001,45.488628,44721351,0
"2016-11-03",47.290001,47.470001,46.610001,46.669998,44.892235,27366005,0
"2016-11-04",46.900002,47.330002,46.41,46.709999,44.930706,37370769,0
"2016-11-08",48.310001,48.619999,48.029999,48.48,46.633293,41405773,0
"2016-11-09",46,47.950001,46,47.419998,45.61367,62426686,0
"2016-11-10",47.5,47.919998,45.119999,45.32,43.593674,70637574,0
"2016-11-11",45.32,45.689999,44.790001,45,43.285847,50400876,0
"2016-11-14",45,46,45,45.369999,43.641754,37280636,0
"2016-11-15",45.610001,46.200001,45.02,45.099998,43.382042,29554236,0
"2016-11-16",45.299999,45.540001,44.900002,45.040001,43.324318,26188262,0
"2016-11-17",45,45.450001,44.939999,45.009998,43.295471,22316666,0
"2016-11-18",44.939999,45.130001,44.119999,44.470001,42.776039,33210878,0
"2016-11-22",44.599998,45.009998,44.599998,44.970001,43.256996,24073027,0
"2016-11-23",44.900002,45.349998,44.700001,45.299999,43.574432,16571841,0
"2016-11-25",45.220001,45.43,45.080002,45.290001,43.564808,12674271,0
"2016-11-28",45.43,45.490002,45.110001,45.450001,43.718712,16570377,0
"2016-11-29",45.5,45.5,45.259998,45.330002,43.603279,20130000,0
"2016-11-30",45.5,45.619999,44.990002,45.349998,43.622524,46468724,0
"2016-12-01",45.5,45.700001,44.790001,44.84,43.131939,36972381,0
"2016-12-02",44.84,45,44.450001,44.52,42.824139,30918771,0
"2016-12-05",44.689999,45.040001,44.689999,44.880001,43.170425,29878399,0
"2016-12-06",44.91,45.119999,44.82,45.040001,43.324318,55105753,0
"2016-12-07",45.040001,45.619999,45.040001,45.57,43.834141,36106309,0
"2016-12-08",45.580002,46.360001,45.580002,46.310001,44.545944,36955824,-1
"2016-12-09",46.099998,46.939999,46.07,46.860001,45.075005,38628325,0
"2016-12-13",46.66,47.18,46.32,46.810001,45.026913,26968648,0
"2016-12-14",46.740002,46.75,45.93,46.18,44.420902,43841728,0
"2016-12-15",46.25,46.25,45.82,45.869999,44.122711,33766732,1
"2016-12-16",45.799999,45.799999,45.02,45.080002,43.362801,30289634,0
"2016-12-19",45.25,45.25,44.849998,44.860001,43.151188,11768216,0
"2016-12-20",45.049999,45.27,44.73,44.91,43.19928,12515515,0
"2016-12-21",44.950001,45.099998,44.799999,44.990002,43.276234,9865398,0
"2016-12-22",45.369999,45.369999,44.52,45,43.285847,10325742,0
"2016-12-23",44.880001,45.220001,44.869999,45.139999,43.420513,4352812,0
"2016-12-26",45.25,45.25,44.549999,45.130001,43.410892,879571,0
"2016-12-27",45.130001,45.34,45.09,45.290001,43.564808,13554202,0
"2016-12-28",45.209999,45.639999,45.209999,45.599998,43.862995,7412070,0
"2016-12-29",44.939999,46.040001,44.939999,45.93,44.180428,14122113,0
"2016-12-30",45.959999,45.98,45.419998,45.630001,43.891853,9111674,0
"2017-01-03",45.950001,46.470001,45.73,46.119999,44.36319,28530117,0
"2017-01-04",46.25,46.66,46.09,46.59,44.815285,36024352,0
"2017-01-05",46.5,46.84,46.310001,46.75,44.969193,24933618,0
"2017-01-06",46.849998,46.849998,46.029999,46.080002,44.324726,24619235,0
"2017-01-09",45.84,46.009998,45.360001,45.549999,43.814899,15580197,0
"2017-01-10",45.779999,45.950001,45.599998,45.91,44.161186,15780346,0
"2017-01-11",45.919998,46.040001,45.599998,45.950001,44.199669,22090212,0
"2017-01-12",45.82,46.240002,45.779999,46.07,44.31509,41714653,0
"2017-01-13",46.200001,46.41,46.09,46.200001,44.440132,24779761,0
"2017-01-16",46.200001,46.200001,45.75,45.790001,44.045761,2437342,0
"2017-01-17",45.790001,46.150002,45.790001,46.009998,44.257378,83983268,0
"2017-01-18",46.009998,46.450001,46.009998,46.360001,44.594048,36438885,0
"2017-01-19",46.439999,46.439999,46.07,46.27,44.507473,21457461,0
"2017-01-20",46.259998,46.41,46.02,46.330002,44.565186,23248892,0
"2017-01-23",46.360001,47.240002,46.360001,47.139999,45.344334,28104812,-1
"2017-01-24",47,48.23,47,48.18,46.344719,52588286,0
"2017-01-25",48.009998,48.639999,47.900002,48.27,46.431297,36443848,0
"2017-01-26",48.049999,48.049999,47.360001,47.540001,45.776382,30216851,0
"2017-01-27",47.619999,47.68,47.18,47.400002,45.641575,31232974,0
"2017-01-30",47.150002,47.23,46.75,47.040001,45.29493,35393814,0
"2017-01-31",47.09,47.240002,46.860001,46.970001,45.227524,19859569,0
"2017-02-01",47.25,47.25,46.740002,46.98,45.237148,32076608,0
"2017-02-02",46.880001,47.119999,46.869999,47.07,45.323811,31393046,0
"2017-02-03",47.07,47.25,46.77,47.189999,45.439365,29340753,0
"2017-02-07",47.189999,47.189999,46.59,46.689999,44.957916,34667176,0
"2017-02-08",46.740002,46.950001,46.580002,46.869999,45.131229,34707709,0
