"fechaSen","fechaEjec","accion","precioEjec","regla"
"2013-11-05","2013-11-06","Compra",40.45087550125,"IF Adj.Close.RSI.14 is (31.5,38.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2013-11-27","2013-11-28","Venta por banda superior",42.04961299875,"IF Comm.Chan.20.0.015 is (94.8,139] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-11-28","2013-11-29","Compra",42.3957239975,"IF Williams.R.14 is (-92.1,-74.8] and Comm.Chan.20.0.015 is (139, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-01-23","2014-01-24","Venta por banda inferior",40.9423875,"IF Comm.Chan.20.0.015 is (-126,-81.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2014-01-27","2014-01-28","Compra",41.00726099625,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-02-19","2014-02-20","Venta por banda inferior",39.74538899625,"IF Comm.Chan.20.0.015 is (-126,-81.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2014-02-21","2014-02-24","Compra",40.03483699875,"IF Adj.Close.RSI.14 is (31.5,38.5] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-02-28","2014-03-03","Venta por banda inferior",38.3538759975,"IF Comm.Chan.20.0.015 is (-126,-81.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2014-03-03","2014-03-04","Compra",39.03233699875,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-03-13","2014-03-14","Venta por banda inferior",37.81023600375,"IF Comm.Chan.20.0.015 is (-126,-81.7] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
