"fechaSen","fechaEjec","accion","precioEjec","regla"
"2010-07-02","2010-07-06","Compra",103.3828125,"IF Adj.Close.RSI.14 is [-Inf,30.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-07-08","2010-07-09","Venta por banda superior",107.18137549875,"IF MFI.14 is (29.3,36.7] and Williams.R.14 is (-201, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2010-07-27","2010-07-28","Compra",111.33765150375,"IF Adj.Close.RSI.14 is (62.1,70.1] and MFI.14 is (66.1,73.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-08-20","2010-08-23","Venta por banda inferior",107.55045,"IF Williams.R.14 is (-365,-311] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-08-24","2010-08-25","Compra",105.57828599625,"IF Adj.Close.RSI.14 is [-Inf,30.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-09-02","2010-09-03","Venta por banda superior",110.19382250625,"IF Adj.Close.RSI.14 is (62.1,70.1] and MFI.14 is (44,51.4] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-09-10","2010-09-13","Compra",112.8213469925,"IF MFI.14 is (58.8,66.1] and Adj.Close.RSI.14 is (62.1,70.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-10-12","2010-10-13","Venta por banda superior",117.6700875,"IF Williams.R.14 is (-365,-311] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-10-19","2010-10-20","Compra",117.94914000625,"IF Adj.Close.RSI.14 is (46.1,54.1] and Comm.Chan.20.0.015 is (32.2,71.8] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-11-08","2010-11-08","Venta fin periodo",122.009214495,"No aplica"
