IF Adj.Close.RSI.14 is (46,51] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Adj.Close.RSI.14 is (61.1,66.1] and Dif.Aroon.25 is (40,54] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Dif.Aroon.25 is (12,26] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Dif.Aroon.25 is (12,26] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Adj.Close.RSI.14 is [-Inf,40.9] and Dif.Aroon.25 is (68,82] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Williams.R.14 is [-Inf,-536] and Comm.Chan.20.0.015 is (95.3,127] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (32.1,63.7] and Dif.Aroon.25 is (82, Inf] THEN  is 1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (32.1,63.7] and Williams.R.14 is (-446,-401] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Williams.R.14 is (-311,-266] and Comm.Chan.20.0.015 is (63.7,95.3] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (95.3,127] and Williams.R.14 is (-356,-311] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Adj.Close.RSI.14 is (66.1,71.1] and MFI.14 is (49.7,54.5] and Williams.R.14 is [-Inf,-536] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (95.3,127] and Williams.R.14 is (-356,-311] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (32.1,63.7] and Dif.Aroon.25 is [-Inf,-2] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Dif.Aroon.25 is (82, Inf] and Adj.Close.RSI.14 is (51,56] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF MFI.14 is (54.5,59.2] and Williams.R.14 is (-311,-266] THEN  is 1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is [-Inf,-31.2] THEN  is 1; (supportSize=2; laplace=0.75)
IF Adj.Close.RSI.14 is (61.1,66.1] and Williams.R.14 is [-Inf,-536] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (127,159] and MFI.14 is (54.5,59.2] THEN  is 1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (63.7,95.3] and Dif.Aroon.25 is (54,68] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Adj.Close.RSI.14 is (61.1,66.1] and Dif.Aroon.25 is (54,68] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (0.463,32.1] and Dif.Aroon.25 is (82, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF MFI.14 is (45,49.7] and Dif.Aroon.25 is (54,68] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Dif.Aroon.25 is (40,54] and Williams.R.14 is (-266, Inf] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF MFI.14 is (73.4, Inf] and Comm.Chan.20.0.015 is (63.7,95.3] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
