"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2011-12-05","2011-12-06","Compra",126.75108900375,"IF Comm.Chan.20.0.015 is (61.5,84.8] THEN  is 1; (supportSize=3; laplace=0.8)",3.76109381353241
"2011-12-15","2011-12-16","Venta por banda inferior",121.8196875,"IF Williams.R.14 is (-277,-258] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.69438939056673
"2011-12-16","2011-12-19","Compra",121.47793699875,"IF Comm.Chan.20.0.015 is (-18.8,10.4] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.80418862906666
"2011-12-23","2011-12-27","Venta por banda superior",126.1238990025,"IF Adj.Close.RSI.14 is (59.5, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.51190280363005
"2011-12-27","2011-12-28","Compra",125.9440760025,"IF MFI.14 is (57.1,68.7] THEN  is 1; (supportSize=3; laplace=0.8)",3.8157175772327
"2012-01-18","2012-01-19","Venta por banda superior",130.8570424875,"IF Adj.Close.RSI.14 is (59.5, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.55091191498279
"2012-01-23","2012-01-24","Compra",131.3776280075,"IF Williams.R.14 is (-349,-299] THEN  is 1; (supportSize=3; laplace=0.8)",3.80870824794264
"2012-02-17","2012-02-21","Venta por banda superior",136.2086279925,"IF Adj.Close.RSI.14 is (59.5, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",5.58768377681549
"2012-02-22","2012-02-23","Compra",136.455285495,"IF Comm.Chan.20.0.015 is (61.5,84.8] THEN  is 1; (supportSize=3; laplace=0.8)",3.76926446077744
"2012-04-13","2012-04-13","Venta fin periodo",137.5702134975,"No aplica",0
