"fechaSen","fechaEjec","accion","precioEjec","regla"
"2017-12-18","2017-12-18","Compra",48.450827005,"IF cociente.Open.num.1.den.0 is (1.002,1.005] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-01-25","2018-01-25","Venta por banda superior",50.6630259975,"IF cociente.Open.num.2.den.0 is [-Inf,0.9862] THEN  is -1; (supportSize=3; laplace=0.8)"
"2018-01-26","2018-01-26","Compra",50.716475,"IF cociente.Open.num.1.den.0 is (1.002,1.005] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-02-07","2018-02-07","Venta por banda inferior",49.136848005,"IF cociente.Open.num.1.den.0 is (0.9988,1.002] THEN  is -1; (supportSize=3; laplace=0.8)"
"2018-02-08","2018-02-08","Compra",49.613727005,"IF cociente.Adj.Close.num.2.den.1 is (1.006, Inf] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-02-12","2018-02-12","Venta por banda inferior",47.979748005,"IF cociente.Open.num.2.den.0 is (1.014, Inf] and cociente.Open.num.1.den.2 is [-Inf,0.9911] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-02-21","2018-02-21","Compra",48.7615989975,"IF cociente.Adj.Close.num.2.den.1 is (1.004,1.006] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-03-21","2018-03-21","Venta por banda inferior",46.972275,"IF cociente.Open.num.2.den.0 is (1.014, Inf] and cociente.Open.num.1.den.2 is [-Inf,0.9911] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-03-22","2018-03-22","Compra",47.518502005,"IF cociente.Open.num.1.den.2 is (0.9911,0.9937] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-04-03","2018-04-03","Venta por banda inferior",45.875026995,"IF cociente.Open.num.2.den.0 is (1.014, Inf] and cociente.Open.num.1.den.2 is [-Inf,0.9911] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
