"fechaSen","fechaEjec","accion","precioEjec","regla"
"2018-09-07","2018-09-07","Compra",48.62125,"IF cociente.Open.num.1.den.0 is (1.0046,1.0086] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-10-26","2018-10-26","Venta por banda inferior",45.885,"IF cociente.Adj.Close.num.2.den.1 is [-Inf,0.9962] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2018-10-29","2018-10-29","Compra",45.844325,"IF cociente.Open.num.1.den.0 is (1.0046,1.0086] THEN  is 1; (supportSize=3; laplace=0.8)"
"2018-11-01","2018-11-01","Venta por banda inferior",43.9997259975,"IF cociente.Open.num.2.den.0 is (0.9876,0.9936] THEN  is -1; (supportSize=3; laplace=0.8)"
"2018-11-07","2018-11-07","Compra",46.716497995,"IF cociente.Adj.Close.num.2.den.1 is (1.008, Inf] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-11-20","2018-11-20","Venta por banda inferior",42.1842759975,"IF cociente.Adj.Close.num.2.den.1 is [-Inf,0.9962] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2018-11-21","2018-11-21","Compra",42.0548760025,"IF cociente.Adj.Close.num.2.den.1 is (1.008, Inf] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2018-11-28","2018-11-28","Venta por banda inferior",39.979801995,"IF cociente.Adj.Close.num.2.den.1 is [-Inf,0.9962] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2018-12-04","2018-12-04","Compra",42.105,"IF cociente.Open.num.1.den.0 is (1.0046,1.0086] THEN  is 1; (supportSize=3; laplace=0.8)"
"2019-01-09","2019-01-09","Venta por banda superior",43.5907509975,"IF cociente.Open.num.2.den.0 is [-Inf,0.9876] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2019-01-10","2019-01-10","Compra",43.5586260025,"IF cociente.Open.num.1.den.0 is (1.0046,1.0086] THEN  is 1; (supportSize=3; laplace=0.8)"
"2019-01-21","2019-01-21","Venta fin periodo",44.308948005,"No aplica"
