"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-08-07","2014-08-08","Compra",44.17516300125,"IF Comm.Chan.20.0.015 is (6.53,50.7] THEN  is 1; (supportSize=4; laplace=0.666666666666667)"
"2014-09-03","2014-09-08","Venta por banda superior",46.23412350375,"IF Adj.Close.RSI.14 is (75.2, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2014-09-10","2014-09-11","Compra",45.81425050125,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-10-08","2014-10-09","Venta por banda inferior",44.28401100375,"IF MFI.14 is (36.7,44.6] and Dif.Aroon.25 is [-Inf,-44.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-10-15","2014-10-16","Compra",42.9069989975,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-10-31","2014-11-03","Venta por banda superior",44.94735149625,"IF Adj.Close.RSI.14 is (75.2, Inf] THEN  is -1; (supportSize=5; laplace=0.857142857142857)"
"2014-11-07","2014-11-10","Compra",44.70147550125,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-12-03","2014-12-04","Venta por banda inferior",42.75783700125,"IF MFI.14 is (36.7,44.6] and Dif.Aroon.25 is [-Inf,-44.5] THEN  is -1; (supportSize=3; laplace=0.8)"
"2014-12-09","2014-12-10","Compra",41.87943900375,"IF Williams.R.14 is (-178,-161] THEN  is 1; (supportSize=3; laplace=0.8)"
"2014-12-15","2014-12-16","Venta por banda inferior",40.09949850375,"IF Dif.Aroon.25 is [-Inf,-72] THEN  is -1; (supportSize=4; laplace=0.666666666666667)"
