"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2011-07-28","2011-07-29","Compra",129.583152005,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.76365664730336
"2011-08-02","2011-08-03","Venta por banda inferior",124.60769850375,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.7351178449688
"2011-08-03","2011-08-04","Compra",122.64585050125,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.70767411325766
"2011-08-05","2011-08-08","Venta por banda inferior",115.779825,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.6791353109231
"2011-08-08","2011-08-09","Compra",114.239885495,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.75433416096694
"2011-08-12","2011-08-15","Venta por banda superior",119.5703240025,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.72579535863238
"2011-08-18","2011-08-19","Compra",114.47547349625,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.79775099825491
"2011-08-26","2011-08-29","Venta por banda superior",119.4456365025,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.76921219592035
"2011-08-29","2011-08-30","Compra",121.1471135025,"IF Comm.Chan.20.0.015 is (16.1,56.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.83751539477379
"2011-09-02","2011-09-06","Venta por banda inferior",115.48057549875,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.72243817184397
"2011-09-07","2011-09-08","Compra",120.15463699875,"IF Comm.Chan.20.0.015 is (16.1,56.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.79558486981992
"2011-09-09","2011-09-12","Venta por banda inferior",115.11648999375,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.68050764689009
"2011-09-12","2011-09-13","Compra",117.49300050125,"IF MFI.14 is (51.6,58.9] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.72751298446805
"2011-09-21","2011-09-22","Venta por banda inferior",112.4731134975,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.63778265916883
"2011-09-22","2011-09-23","Compra",113.37272550125,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8377233239286
"2011-09-26","2011-09-27","Venta por banda superior",117.9044970075,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.67775498484253
"2011-09-27","2011-09-28","Compra",117.02182449875,"IF MFI.14 is (51.6,58.9] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.6811837889037
"2011-09-30","2011-10-03","Venta por banda inferior",111.60029750625,"IF Dif.Aroon.25 is (-72,-48] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.20767575278875
"2011-10-03","2011-10-04","Compra",110.2800135025,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.87868520674427
"2011-10-05","2011-10-06","Venta por banda superior",114.7972904925,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.7187168676582
"2011-10-10","2011-10-11","Compra",119.69348800125,"IF Comm.Chan.20.0.015 is (16.1,56.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.8367248481072
"2011-10-21","2011-10-24","Venta por banda superior",124.61767549875,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.75985684594547
"2011-10-24","2011-10-25","Compra",124.174660495,"IF Dif.Aroon.25 is (55,75.5] THEN  is 1; (supportSize=3; laplace=0.8)",3.72440785548968
"2011-11-21","2011-11-22","Venta por banda inferior",119.01172250625,"IF Dif.Aroon.25 is (-72,-48] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.16609772094096
"2011-11-22","2011-11-23","Compra",118.1696875,"IF Adj.Close.RSI.14 is [-Inf,36.7] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.9341370289491
"2011-11-30","2011-12-01","Venta por banda superior",124.72241200125,"IF Williams.R.14 is (-306, Inf] THEN  is -1; (supportSize=3; laplace=0.8)",3.8153086681503
