"fechaSen","fechaEjec","accion","precioEjec","regla","puntaje_regla"
"2008-10-30","2008-10-31","Compra",96.76631400375,"IF MFI.14 is (42.7,46.1] THEN  is 1; (supportSize=3; laplace=0.8)",3.75609847241277
"2008-11-05","2008-11-06","Venta por banda inferior",92.518125,"IF Dif.Aroon.25 is (-72,-48] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.7894318057461
"2008-11-12","2008-11-13","Compra",87.12727449875,"IF MFI.14 is (38.4,43.8] THEN  is 1; (supportSize=3; laplace=0.8)",3.61797637291257
"2008-11-20","2008-11-21","Venta por banda inferior",77.4259490025,"IF Dif.Aroon.25 is (-72,-48] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.67808520903385
"2008-11-24","2008-11-25","Compra",85.8791635025,"IF MFI.14 is (38.4,43.8] THEN  is 1; (supportSize=3; laplace=0.8)",3.65526800299938
"2008-11-26","2008-11-28","Venta por banda superior",89.0817375,"IF Dif.Aroon.25 is (-72,-48] THEN  is -1; (supportSize=4; laplace=0.833333333333333)",4.71537683912066
"2008-12-11","2008-12-12","Compra",87.35283599625,"IF Comm.Chan.20.0.015 is (16.1,56.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.87527874316991
"2008-12-16","2008-12-17","Venta por banda superior",91.0168865025,"IF Comm.Chan.20.0.015 is (56.1,96.1] THEN  is -1; (supportSize=3; laplace=0.8)",3.84194540983658
"2008-12-18","2008-12-19","Compra",89.57838699875,"IF Comm.Chan.20.0.015 is (16.1,56.1] THEN  is 1; (supportSize=4; laplace=0.833333333333333)",4.83810962670885
"2008-12-26","2008-12-29","Venta por banda inferior",86.2488375,"IF Williams.R.14 is (-335,-288] THEN  is -1; (supportSize=3; laplace=0.8)",3.69402884177544
"2008-12-30","2008-12-31","Compra",90.144802005,"IF MFI.14 is (38.4,43.8] THEN  is 1; (supportSize=3; laplace=0.8)",3.58726228470062
"2009-01-27","2009-01-27","Venta fin periodo",84.01443999375,"No aplica",0
