"fechaSen","fechaEjec","accion","precioEjec","regla"
"2013-07-03","2013-07-04","Compra",41.182702005,"IF cociente.Adj.Close.num.2.den.1 is (1.001,1.009] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2013-07-16","2013-07-17","Venta por banda inferior",39.7004990025,"IF cociente.Open.num.2.den.0 is (0.997,1.01] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-07-22","2013-07-23","Compra",40.250377005,"IF cociente.Adj.Close.num.2.den.1 is (1.001,1.009] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2013-08-01","2013-08-02","Venta por banda superior",41.6855259975,"IF cociente.Open.num.1.den.0 is [-Inf,0.9848] THEN  is -1; (supportSize=2; laplace=0.75)"
"2013-08-06","2013-08-07","Compra",41.9646510025,"IF cociente.Adj.Close.num.2.den.1 is (1.001,1.009] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2013-08-30","2013-09-02","Venta por banda inferior",39.5408990025,"IF cociente.Open.num.2.den.0 is (0.997,1.01] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-09-02","2013-09-03","Compra",40.2904739975,"IF cociente.Open.num.1.den.2 is (0.9934,0.9987] THEN  is 1; (supportSize=2; laplace=0.75)"
"2013-09-18","2013-09-19","Venta por banda superior",41.994748005,"IF cociente.Open.num.2.den.0 is (0.986,0.997] THEN  is -1; (supportSize=6; laplace=0.875)"
"2013-09-20","2013-09-23","Compra",41.3831989975,"IF cociente.Adj.Close.num.2.den.1 is (1.001,1.009] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2013-10-08","2013-10-09","Venta por banda inferior",39.890026995,"IF cociente.Open.num.2.den.0 is (0.997,1.01] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2013-10-10","2013-10-11","Compra",40.60125,"IF cociente.Adj.Close.num.2.den.1 is (1.001,1.009] THEN  is 1; (supportSize=5; laplace=0.857142857142857)"
"2013-11-04","2013-11-04","Venta fin periodo",41.0870240025,"No aplica"
