"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-08-04","2014-08-05","Compra",44.6714010025,"IF cociente.Open.num.1.den.0 is (1,1.01] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-09-08","2014-09-09","Venta por banda superior",46.2540740025,"IF cociente.Open.num.1.den.2 is (1.004,1.011] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-09-10","2014-09-11","Compra",45.77415,"IF cociente.Open.num.1.den.0 is (1,1.01] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-10-02","2014-10-03","Venta por banda inferior",44.149348005,"IF cociente.Open.num.1.den.2 is (1.004,1.011] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-10-03","2014-10-06","Compra",45.0623760025,"IF cociente.Open.num.1.den.0 is (1,1.01] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-10-10","2014-10-13","Venta por banda inferior",43.490998005,"IF cociente.Open.num.1.den.2 is (1.004,1.011] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-10-13","2014-10-14","Compra",43.1075,"IF cociente.Open.num.1.den.0 is (1.011, Inf] THEN  is 1; (supportSize=6; laplace=0.875)"
"2014-10-30","2014-10-31","Venta por banda superior",44.618175,"IF cociente.Open.num.2.den.0 is (0.986,0.997] THEN  is -1; (supportSize=6; laplace=0.875)"
"2014-11-04","2014-11-05","Compra",45.1125,"IF cociente.Open.num.1.den.0 is (1,1.01] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2014-11-12","2014-11-14","Venta por banda inferior",43.5009759975,"IF cociente.Open.num.1.den.2 is (1.004,1.011] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-11-14","2014-11-20","Compra",44.11,"IF cociente.Open.num.1.den.0 is (1.011, Inf] THEN  is 1; (supportSize=6; laplace=0.875)"
"2014-12-08","2014-12-09","Venta por banda inferior",42.5832740025,"IF cociente.Open.num.2.den.0 is (0.986,0.997] THEN  is -1; (supportSize=6; laplace=0.875)"
"2014-12-09","2014-12-10","Compra",42.3055010025,"IF cociente.Open.num.1.den.0 is (1.011, Inf] THEN  is 1; (supportSize=6; laplace=0.875)"
"2014-12-15","2014-12-16","Venta por banda inferior",39.7902740025,"IF cociente.Open.num.1.den.2 is [-Inf,0.9908] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-12-16","2014-12-17","Compra",40.3005010025,"IF cociente.Open.num.1.den.0 is (1.011, Inf] THEN  is 1; (supportSize=6; laplace=0.875)"
"2014-12-18","2014-12-22","Venta por banda superior",42.653098005,"IF cociente.Open.num.1.den.2 is (1.004,1.011] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
