"fechaSen","fechaEjec","accion","precioEjec","regla"
"2010-07-02","2010-07-06","Compra",103.3828125,"IF Adj.Close.RSI.14 is [-Inf,30.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-07-08","2010-07-09","Venta por banda superior",107.18137549875,"IF Comm.Chan.20.0.015 is (-47.1,-7.45] THEN  is -1; (supportSize=2; laplace=0.75)"
"2010-07-19","2010-07-20","Compra",107.4579739975,"IF Adj.Close.RSI.14 is (46.1,54.1] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-07-26","2010-07-27","Venta por banda superior",111.4207509975,"IF Williams.R.14 is (-256,-201] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-07-27","2010-07-28","Compra",111.33765150375,"IF Williams.R.14 is (-311,-256] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-08-13","2010-08-16","Venta por banda inferior",107.62526299875,"IF Williams.R.14 is (-420,-365] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-08-16","2010-08-17","Compra",109.909085495,"IF Adj.Close.RSI.14 is (30.1,38.1] THEN  is 1; (supportSize=3; laplace=0.8)"
"2010-08-23","2010-08-24","Venta por banda inferior",105.4158,"IF Williams.R.14 is (-365,-311] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-08-24","2010-08-25","Compra",105.57828599625,"IF Adj.Close.RSI.14 is [-Inf,30.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2010-09-03","2010-09-07","Venta por banda superior",109.75492749375,"IF Comm.Chan.20.0.015 is (71.8,111] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-09-07","2010-09-08","Compra",110.605822995,"IF Williams.R.14 is (-311,-256] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-10-04","2010-10-05","Venta por banda superior",115.2062615025,"IF Comm.Chan.20.0.015 is (32.2,71.8] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2010-10-19","2010-10-20","Compra",117.94914000625,"IF Adj.Close.RSI.14 is (46.1,54.1] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2010-11-04","2010-11-05","Venta por banda superior",122.2436240025,"IF MFI.14 is (73.5, Inf] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
