"fechaSen","fechaEjec","accion","precioEjec","regla"
"2018-09-24","2018-09-25","Compra",291.79266500625,"IF Comm.Chan.20.0.015 is (47,67.2] THEN  is 1; (supportSize=2; laplace=0.75)"
"2018-10-09","2018-10-10","Venta por banda inferior",281.68901698875,"IF Comm.Chan.20.0.015 is [-Inf,-91.2] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-10-10","2018-10-11","Compra",275.31656447375,"IF MFI.14 is [-Inf,41.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2018-10-25","2018-10-26","Venta por banda inferior",265.97839198875,"IF Comm.Chan.20.0.015 is [-Inf,-91.2] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-10-26","2018-10-29","Compra",265.7126280075,"IF MFI.14 is [-Inf,41.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2018-12-14","2018-12-17","Venta por banda inferior",256.44727150875,"IF Comm.Chan.20.0.015 is [-Inf,-91.2] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-12-18","2018-12-19","Compra",255.0109375,"IF MFI.14 is [-Inf,41.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2018-12-20","2018-12-21","Venta por banda inferior",244.23288899625,"IF Comm.Chan.20.0.015 is [-Inf,-91.2] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2018-12-21","2018-12-24","Compra",238.1488875,"IF MFI.14 is [-Inf,41.1] THEN  is 1; (supportSize=2; laplace=0.75)"
"2019-01-15","2019-01-16","Venta por banda superior",260.63179099125,"IF Comm.Chan.20.0.015 is (67.2,89.3] THEN  is -1; (supportSize=2; laplace=0.75)"
"2019-01-16","2019-01-17","Compra",262.594852005,"IF Comm.Chan.20.0.015 is (89.3,98.1] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2019-01-31","2019-01-31","Venta fin periodo",268.1978200125,"No aplica"
